proposed_acc,proposed_f1,proposed_kappa,proposed_js,proposed_maxdiff,knn_acc,knn_f1,true_effect,imp_effect,bias,bias_pct
0.785337726523888,0.7727857133914785,0.6402919120312635,0.02190774861455657,0.025556754635534223,0.7619439868204283,0.7529763417095365,0.08150792338194107,0.1009575213041411,0.019449597922200024,23.86221745714268
0.7768689677735973,0.7659665174647392,0.627331948610524,0.021693887154710868,0.025311488276268057,0.7551120562735154,0.7463357578785651,0.08256812044228751,0.09958522257424463,0.017017102131957118,20.609772925437404
0.7745693191140279,0.7618621895838649,0.6218741914990742,0.019562375605336954,0.022809771411753166,0.760459392945037,0.7520100363807134,0.0794643239786032,0.09657781233481016,0.017113488356206963,21.536064864548514
0.7770637666831438,0.7630310995392158,0.6294087039901303,0.02119333985755406,0.024968115373295352,0.7572911517548195,0.7485574457125521,0.0831537509044149,0.10187419992533611,0.01872044902092121,22.513054212599904
0.7810087070806637,0.7673196753457955,0.6338590112091256,0.022361811905981195,0.02614539389777304,0.7642516839165434,0.7577613983531869,0.08435953640226682,0.10264147826541298,0.01828194186314616,21.671458429986
0.7814050248039687,0.7681452893783796,0.6312583314934697,0.022520585535632603,0.026292553713332667,0.7577212353976637,0.7515767783424937,0.08201492360717055,0.10051501862385914,0.01850009501668859,22.556986220336036
0.7842784768753064,0.7715013887364494,0.639349367161971,0.021535231268685253,0.025115275188855035,0.7517568230102958,0.7411356269636103,0.08326593730584689,0.10073900342665229,0.017473066120805403,20.984650730135304
0.785344683692205,0.7732705274349289,0.6438797598576966,0.021217644758837115,0.02457568919846953,0.7633116341178434,0.7563987458019592,0.08290836265227677,0.09813841424807068,0.015230051595793909,18.369741131747787
0.774065497849818,0.7613425729137008,0.6261779317936573,0.020252337427572147,0.023643677033258093,0.7618260006615944,0.7550568301658219,0.078790456513533,0.09681944009489513,0.018028983581362124,22.882192056173043
0.7868744872846596,0.7772030125962024,0.6452133679023113,0.020822437673718552,0.024232316295496825,0.7561936013125513,0.7503881613382025,0.07966730076784301,0.09638931910043694,0.01672201833259393,20.989814103685088
